CAT;CLASSIF;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS;
M18;;Artrose da primeira articulação carpometacarpiana;M18   Artrose prim articulacao carpometacarpiana;;;
M19;;Outras artroses;M19   Outr artroses;;;
M20;;Deformidades adquiridas dos dedos das mãos e dos pés;M20   Deform adquir dedos maos e pes;;;
M21;;Outras deformidades adquiridas dos membros;M21   Outr deform adquir dos membros;;;
M22;;Transtornos da rótula [patela];M22   Transt da rotula;;;
M23;;Transtornos internos dos joelhos;M23   Transt internos dos joelhos;;;
M24;;Outros transtornos articulares específicos;M24   Outr transt articulares especificos;;;
M25;;Outros transtornos articulares não classificados em outra parte;M25   Outr transt articulares NCOP;;;
M30;;Poliarterite nodosa e afecções correlatas;M30   Poliarterite nodosa e afeccoes correlatas;;;
M31;;Outras vasculopatias necrotizantes;M31   Outr vasculopatias necrotizantes;;;
M32;;Lúpus eritematoso disseminado [sistêmico];M32   Lupus eritematoso disseminado;;;
M33;;Dermatopoliomiosite;M33   Dermatopoliomiosite;;;
M34;;Esclerose sistêmica;M34   Esclerose sistemica;;;
M35;;Outras afecções sistêmicas do tecido conjuntivo;M35   Outr afeccoes sistemicas do tec conjuntivo;;;
M36;*;Doenças sistêmicas do tecido conjuntivo em doenças classificadas em outra parte;M36   Doenc sistemicas do tec conjuntivo doenc COP;;;
M40;;Cifose e lordose;M40   Cifose e lordose;;;
M41;;Escoliose;M41   Escoliose;;;
M42;;Osteocondrose da coluna vertebral;M42   Osteocondrose da coluna vertebral;;;
M43;;Outras dorsopatias deformantes;M43   Outr dorsopatias deformantes;;;
M45;;Espondilite ancilosante;M45   Espondilite ancilosante;;;
M46;;Outras espondilopatias inflamatórias;M46   Outr espondilopatias inflam;;;
M47;;Espondilose;M47   Espondilose;;;
M48;;Outras espondilopatias;M48   Outr espondilopatias;;;
M49;*;Espondilopatias em doenças classificadas em outra parte;M49   Espondilopatias em doenc COP;;;
M50;;Transtornos dos discos cervicais;M50   Transt dos discos cervicais;;;
M51;;Outros transtornos de discos intervertebrais;M51   Outr transt de discos intervertebrais;;;
M53;;Outras dorsopatias não classificadas em outra parte;M53   Outr dorsopatias NCOP;;;
M54;;Dorsalgia;M54   Dorsalgia;;;
M60;;Miosite;M60   Miosite;;;
M61;;Calcificação e ossificação do músculo;M61   Calcificacao e ossificacao do musculo;;;
M62;;Outros transtornos musculares;M62   Outr transt musculares;;;
M63;*;Transtornos de músculo em doenças classificadas em outra parte;M63   Transt de musculo em doenc COP;;;
M65;;Sinovite e tenossinovite;M65   Sinovite e tenossinovite;;;
M66;;Ruptura espontânea de sinóvia e de tendão;M66   Ruptura espontanea de sinovia e de tendao;;;
M67;;Outros transtornos das sinóvias e dos tendões;M67   Outr transt das sinovias e dos tendoes;;;
M68;*;Transtorno de sinóvias e de tendões em doenças classificadas em outra parte;M68   Transt de sinovias e de tendoes em doenc COP;;;
M70;;Transtornos dos tecidos moles relacionados com o uso, uso excessivo e pressão;M70   Transt tec moles relac uso excess e pressao;;;
M71;;Outras bursopatias;M71   Outr bursopatias;;;
M72;;Transtornos fibroblásticos;M72   Transt fibroblasticos;;;
M73;*;Transtornos dos tecidos moles em doenças classificadas em outra parte;M73   Transt dos tec moles em doenc COP;;;
M75;;Lesões do ombro;M75   Lesoes do ombro;;;
M76;;Entesopatias dos membros inferiores, excluindo pé;M76   Entesopatias dos membros infer excl pe;;;
M77;;Outras entesopatias;M77   Outr entesopatias;;;
M79;;Outros transtornos dos tecidos moles, não classificados em outra parte;M79   Outr transt dos tec moles NCOP;;;
M80;;Osteoporose com fratura patológica;M80   Osteoporose c/frat patologica;;;
M81;;Osteoporose sem fratura patológica;M81   Osteoporose s/frat patologica;;;
M82;*;Osteoporose em doenças classificadas em outra parte;M82   Osteoporose em doenc COP;;;
M83;;Osteomalácia do adulto;M83   Osteomalacia do adulto;;;
M84;;Transtornos da continuidade do osso;M84   Transt da continuidade do osso;;;
M85;;Outros transtornos da densidade e da estrutura ósseas;M85   Outr transt da densidade e estrutura osseas;;;
M86;;Osteomielite;M86   Osteomielite;;;
M87;;Osteonecrose;M87   Osteonecrose;;;
M88;;Doença de Paget do osso (osteíte deformante);M88   Doenc de Paget do osso;;;
M89;;Outros transtornos ósseos;M89   Outr transt osseos;;;
M90;*;Osteopatias em doenças classificadas em outra parte;M90   Osteopatias em doenc COP;;;
M91;;Osteocondrose juvenil do quadril e da pelve;M91   Osteocondrose juvenil do quadril e da pelve;;;
M92;;Outras osteocondroses juvenis;M92   Outr osteocondroses juvenis;;;
M93;;Outras osteocondropatias;M93   Outr osteocondropatias;;;
M94;;Outros transtornos das cartilagens;M94   Outr transt das cartilagens;;;
M95;;Outras deformidades adquiridas do sistema osteomuscular e do tecido conjuntivo;M95   Outr deform adquir sist osteomusc tec conj;;;
M96;;Transtornos osteomusculares pós-procedimentos não classificados em outra parte;M96   Transt osteomusculares pos-proced NCOP;;;
M99;;Lesões biomecânicas não classificadas em outra parte;M99   Lesoes biomecanicas NCOP;;;
N00;;Síndrome nefrítica aguda;N00   Sindr nefritica aguda;;;
N01;;Síndrome nefrítica rapidamente progressiva;N01   Sindr nefritica rapidamente progressiva;;;
N02;;Hematúria recidivante e persistente;N02   Hematuria recidivante e persistente;;;
N03;;Síndrome nefrítica crônica;N03   Sindr nefritica cronica;;;
N04;;Síndrome nefrótica;N04   Sindr nefrotica;;;
N05;;Síndrome nefrítica não especificada;N05   Sindr nefritica NE;;;
N06;;Proteinúria isolada com lesão morfológica especificada;N06   Proteinuria isolada c/lesao morfolog espec;;;
N07;;Nefropatia hereditária não classificada em outra parte;N07   Nefropatia hereditaria NCOP;;;
N08;*;Transtornos glomerulares em doenças classificadas em outra parte;N08   Transt glomerulares em doenc COP;;;
N10;;Nefrite túbulo-intersticial aguda;N10   Nefrite tubulo-intersticial aguda;;;
N11;;Nefrite túbulo-intersticial crônica;N11   Nefrite tubulo-intersticial cronica;;;
N12;;Nefrite túbulo-intersticial não especificada se aguda ou crônica;N12   Nefrite tubulo-intersticial NE aguda cronica;;;
N13;;Uropatia obstrutiva e por refluxo;N13   Uropatia obstrutiva e p/refluxo;;;
N14;;Afecções tubulares e túbulo-intersticiais induzidas por drogas ou metais pesados;N14   Afec tubul tubulo-interst ind drog met pesad;;;
N15;;Outras doenças renais túbulo-intersticiais;N15   Outr doenc renais tubulo-intersticiais;;;
N16;*;Transtornos renais túbulo-intersticiais em doenças classificadas em outra parte;N16   Transt renais tubulo-intersticiais doenc COP;;;
N17;;Insuficiência renal aguda;N17   Insuf renal aguda;;;
N18;;Insuficiência renal crônica;N18   Insuf renal cronica;;;
N19;;Insuficiência renal não especificada;N19   Insuf renal NE;;;
N20;;Calculose do rim e do ureter;N20   Calculose do rim e do ureter;;;
N21;;Calculose do trato urinário inferior;N21   Calculose do trato urinario infer;;;
N22;*;Calculose do trato urinário inferior em doenças classificadas em outra parte;N22   Calculose do trato urinario infer doenc COP;;;
N23;;Cólica nefrética não especificada;N23   Colica nefretica NE;;;
N25;;Transtornos resultantes de função renal tubular alterada;N25   Transt result funcao renal tubular alterada;;;
N26;;Rim contraído, não especificado;N26   Rim contraido NE;;;
N27;;Hipoplasia renal de causa desconhecida;N27   Hipoplasia renal de causa desconhecida;;;
N28;;Outros transtornos do rim e do ureter não classificado em outra parte;N28   Outr transt do rim e do ureter NCOP;;;
N29;*;Outros transtornos do rim e do ureter em doenças classificadas em outra parte;N29   Outr transt do rim e do ureter em doenc COP;;;
N30;;Cistite;N30   Cistite;;;
N31;;Disfunções neuromusculares da bexiga não classificados em outra parte;N31   Disfuncoes neuromusculares da bexiga NCOP;;;
N32;;Outros transtornos da bexiga;N32   Outr transt da bexiga;;;
N33;*;Transtornos da bexiga em doenças classificadas em outra parte;N33   Transt da bexiga em doenc COP;;;
N34;;Uretrite e síndrome uretral;N34   Uretrite e sindr uretral;;;
N35;;Estenose da uretra;N35   Estenose da uretra;;;
N36;;Outros transtornos da uretra;N36   Outr transt da uretra;;;
N37;*;Transtornos da uretra em doenças classificadas em outra parte;N37   Transt da uretra em doenc COP;;;
N39;;Outros transtornos do trato urinário;N39   Outr transt do trato urinario;;;
N40;;Hiperplasia da próstata;N40   Hiperplasia da prostata;;;
N41;;Doenças inflamatórias da próstata;N41   Doenc inflam da prostata;;;
N42;;Outras afecções da próstata;N42   Outr afeccoes da prostata;;;
N43;;Hidrocele e espermatocele;N43   Hidrocele e espermatocele;;;
N44;;Torção do testículo;N44   Torcao do testiculo;;;
N45;;Orquite e epididimite;N45   Orquite e epididimite;;;
N46;;Infertilidade masculina;N46   Infertilidade masc;;;
N47;;Hipertrofia do prepúcio, fimose e parafimose;N47   Hipertrofia do prepucio fimose e parafimose;;;
N48;;Outros transtornos do pênis;N48   Outr transt do penis;;;
N49;;Transtornos inflamatórios de órgãos genitais masculinos, não classificados em outra parte;N49   Transt inflam orgaos genitais masc NCOP;;;
N50;;Outros transtornos dos órgãos genitais masculinos;N50   Outr transt dos orgaos genitais masc;;;
N51;*;Transtornos dos órgãos genitais masculinos em doenças classificadas em outra parte;N51   Transt orgaos genitais masc doenc COP;;;
N60;;Displasias mamárias benignas;N60   Displasias mamarias benignas;;;
N61;;Transtornos inflamatórios da mama;N61   Transt inflam da mama;;;
N62;;Hipertrofia da mama;N62   Hipertrofia da mama;;;
N63;;Nódulo mamário não especificado;N63   Nodulo mamario NE;;;
N64;;Outras doenças da mama;N64   Outr doenc da mama;;;
N70;;Salpingite e ooforite;N70   Salpingite e ooforite;;;
N71;;Doença inflamatória do útero, exceto o colo;N71   Doenc inflam do utero exceto o colo;;;
N72;;Doença inflamatória do colo do útero;N72   Doenc inflam do colo do utero;;;
N73;;Outras doenças inflamatórias pélvicas femininas;N73   Outr doenc inflam pelvicas femin;;;
N74;*;Transtornos inflamatórios da pelve feminina em doenças classificadas em outra parte;N74   Transt inflam da pelve femin em doenc COP;;;
N75;;Doenças da glândula de Bartholin;N75   Doenc da gland de Bartholin;;;
N76;;Outras afecções inflamatórias da vagina e da vulva;N76   Outr afeccoes inflam da vagina e da vulva;;;
N77;*;Ulceração e inflamação vulvovaginais em doenças classificadas em outra parte;N77   Ulceracao e inflam vulvovaginais doenc COP;;;
N80;;Endometriose;N80   Endometriose;;;
N81;;Prolapso genital feminino;N81   Prolapso genital femin;;;
N82;;Fístulas do trato genital feminino;N82   Fistulas do trato genital femin;;;
N83;;Transtornos não-inflamatórios do ovário, da trompa de Falópio e do ligamento largo;N83   Transt nao-infl ovario tromp Falop lig largo;;;
N84;;Pólipo do trato genital feminino;N84   Polipo do trato genital femin;;;
N85;;Outros transtornos não-inflamatórios do útero, exceto do colo do útero;N85   Outr transt nao-inflam utero exc colo utero;;;
N86;;Erosão e ectrópio do colo do útero;N86   Erosao e ectropio do colo do utero;;;
N87;;Displasia do colo do útero;N87   Displasia do colo do utero;;;
N88;;Outros transtornos não-inflamatórios do colo do útero;N88   Outr transt nao-inflam do colo do utero;;;
N89;;Outros transtornos não-inflamatórios da vagina;N89   Outr transt nao-inflam da vagina;;;
N90;;Outros transtornos não-inflamatórios da vulva e do períneo;N90   Outr transt nao-inflam da vulva e do perineo;;;
N91;;Menstruação ausente, escassa e pouco freqüente;N91   Menstruacao ausente escassa e pouco freq;;;
N92;;Menstruação excessiva, freqüente e irregular;N92   Menstruacao excessiva frequente e irregular;;;
N93;;Outros sangramentos anormais do útero e da vagina;N93   Outr sangramentos anormais utero e vagina;;;
N94;;Dor e outras afecções associadas com os órgãos genitais femininos e com o ciclo menstrual;N94   Dor outr afecc ass org genit fem cicl menstr;;;
N95;;Transtornos da menopausa e da perimenopausa;N95   Transt da menopausa e da perimenopausa;;;
N96;;Abortamento habitual;N96   Abortamento habitual;;;
N97;;Infertilidade feminina;N97   Infertilidade femin;;;
N98;;Complicações associadas à fecundação artificial;N98   Complic assoc a fecundacao artificial;;;
N99;;Transtornos do trato geniturinário pós-procedimentos não classificados em outra parte;N99   Transt trato geniturinario pos-proced NCOP;;;
O00;;Gravidez ectópica;O00   Gravidez ectopica;;;
O01;;Mola hidatiforme;O01   Mola hidatiforme;;;
O02;;Outros produtos anormais da concepção;O02   Outr produtos anormais da concepcao;;;
O03;;Aborto espontâneo;O03   Aborto espontaneo;;;
O04;;Aborto por razões médicas e legais;O04   Aborto p/razoes medicas e legais;;;
O05;;Outros tipos de aborto;O05   Outr tipos de aborto;;;
O06;;Aborto não especificado;O06   Aborto NE;;;
O07;;Falha de tentativa de aborto;O07   Falha de tentativa de aborto;;;
O08;;Complicações conseqüentes a aborto e gravidez ectópica ou molar;O08   Complic conseq aborto gravidez ectop molar;;;
O10;;Hipertensão pré-existente complicando a gravidez, o parto e o puerpério;O10   Hipertens pre-exist complic grav parto puerp;;;
O11;;Distúrbio hipertensivo pré-existente com proteinúria superposta;O11   Dist hipertens pre-exist proteinuria superp;;;
O12;;Edema e proteinúria gestacionais [induzidos pela gravidez], sem hipertensão;O12   Edema e proteinuria gestac s/hipertensao;;;
O13;;Hipertensão gestacional [induzida pela gravidez] sem proteinúria significativa;O13   Hipertensao gestacional s/proteinuria signif;;;
O14;;Hipertensão gestacional [induzida pela gravidez] com proteinúria significativa;O14   Hipertensao gestacional c/proteinuria signif;;;
O15;;Eclâmpsia;O15   Eclampsia;;;
O16;;Hipertensão materna não especificada;O16   Hipertensao materna NE;;;
O20;;Hemorragia do início da gravidez;O20   Hemorragia do inicio da gravidez;;;
O21;;Vômitos excessivos na gravidez;O21   Vomitos excessivos na gravidez;;;
O22;;Complicações venosas na gravidez;O22   Complic venosas na gravidez;;;
O23;;Infecções do trato geniturinário na gravidez;O23   Infecc do trato geniturinario na gravidez;;;
O24;;Diabetes mellitus na gravidez;O24   Diabetes mellitus na gravidez;;;
O25;;Desnutrição na gravidez;O25   Desnutric na gravidez;;;
O26;;Assistência materna por outras complicações ligadas predominantemente à gravidez;O26   Assist materna outr complic lig predom grav;;;
O28;;Achados anormais do rastreamento ["screening"] antenatal da mãe;O28   Achados anorm rastr antenatal mae;;;
O29;;Complicações de anestesia administrada durante a gravidez;O29   Complic anestesia admin durante gravidez;;;
O30;;Gestação múltipla;O30   Gestacao mult;;;
O31;;Complicações específicas de gestação múltipla;O31   Complic especificas de gestacao mult;;;
O32;;Assistência prestada à mãe por motivo de apresentação anormal, conhecida ou suspeitada, do feto;O32   Assist prest mae apres anorm conh susp feto;;;
O33;;Assistência prestada à mãe por uma desproporção conhecida ou suspeita;O33   Assist prest mae desprop conhecida suspeita;;;
O34;;Assistência prestada à mãe por anormalidade, conhecida ou suspeita, dos órgãos pélvicos maternos;O34   Assist prest mae anor conh susp org pelv mat;;;
O35;;Assistência prestada à mãe por anormalidade e lesão fetais, conhecidas ou suspeitadas;O35   Assist prest mae anorm lesao fet conhec susp;;;
O36;;Assistência prestada à mãe por outros problemas fetais conhecidos ou suspeitados;O36   Assist prest mae outr probl fet conhec susp;;;
O40;;Polihidrâmnio;O40   Polihidramnio;;;
O41;;Outros transtornos das membranas e do líquido amniótico;O41   Outr transt membranas e liquido amniotico;;;
O42;;Ruptura prematura de membranas;O42   Ruptura prematura de membranas;;;
O43;;Transtornos da placenta;O43   Transt da placenta;;;
O44;;Placenta prévia;O44   Placenta previa;;;
O45;;Descolamento prematuro da placenta [abruptio placentae];O45   Descolamento prematuro da placenta;;;
O46;;Hemorragia anteparto não classificada em outra parte;O46   Hemorragia anteparto NCOP;;;
